[description:"powerline" end:"1583830549" entry:"1582015095" modified:"1583830549" status:"completed" uuid:"2c630672-2902-4cde-a3af-a5ed2c05be9c"]
[description:"acpi show current battery state" end:"1583830527" entry:"1583067805" modified:"1583830527" status:"completed" uuid:"11333f66-b618-4290-8e59-7d7c5e12e5a3"]
[description:"proxychains" end:"1583830287" entry:"1581860916" modified:"1583830287" status:"completed" uuid:"9c755bf3-0056-4400-9186-2bac90ea8a3e"]
[description:"task" end:"1583830120" entry:"1581859861" modified:"1583830120" status:"completed" uuid:"98d47370-aaae-4c33-87e3-c21af8c0add3"]
[description:"trayer(show systray for UNIX desktop)" end:"1583830068" entry:"1583068051" modified:"1583830068" status:"completed" uuid:"56bae150-1ac8-4301-baa9-8755488e1191"]
[description:"xarchiver" end:"1583829506" entry:"1582556172" modified:"1583829506" status:"completed" uuid:"a04db3e7-e38f-4040-899e-61a5164c5eaf"]
[description:"xcompmgr give windows transparency; an Xorg extension" end:"1583829493" entry:"1582633743" modified:"1583829493" status:"completed" uuid:"79124228-b3c8-4da3-a11e-87e4bfdf3734"]
[description:"compton" end:"1583829317" entry:"1582039465" modified:"1583829317" status:"completed" uuid:"f2a3ea7b-1be1-426a-b14e-71961e908aba"]
[description:"ntfs-3g" end:"1583828704" entry:"1582556303" modified:"1583828704" status:"completed" uuid:"5ba0bc65-0207-412d-869f-6fdc6678fb3b"]
